planet,habit_code
Teegarden's Star b,1
TOI-700 d,1
K2-72 e,1
TRAPPIST-1 d,1
Kepler-1649 c,1
Proxima Cen b,1
GJ 1061 d,1
GJ 1061 c,1
Ross 128 b,1
GJ 273 b,1
TRAPPIST-1 e,1
Kepler-442 b,1
Wolf 1061 c,1
GJ 667 C c,1
GJ 667 C f,1
Kepler-1229 b,1
TRAPPIST-1 f,1
Kepler-62 f,1
Teegarden's Star c,1
Kepler-186 f,1
GJ 667 C e,1
tau Cet f,1
TRAPPIST-1 g,1
GJ 682 b,1
Kepler-452 b,2
Kepler-62 e,2
Kepler-1652 b,2
Kepler-1544 b,2
Kepler-296 e,2
Kepler-283 c,2
Kepler-296 b,2
Kepler-1410 b,2
K2-3 d,2
Kepler-1638 b,2
Kepler-296 f,2
Kepler-440 b,2
Kepler-705 b,2
Kepler-1653 b,2
GJ 832 c,2
Kepler-1606 b,2
Kepler-1090 b,2
Kepler-61 b,2
K2-18 b,2
Kepler-443 b,2
Kepler-1701 b,2
Kepler-22 b,2
LHS 1140 b,2
Kepler-1552 b,2
K2-9 b,2
Kepler-1540 b,2
GJ 180 c,2
Kepler-1632 b,2
Kepler-298 d,2
GJ 163 c,2
HD 40307 g,2
K2-288 B b,2
GJ 3293 d,2
GJ 229 A c,2
Kepler-174 d,2
GJ 357 d,2
